clean_message,label
good afternoon my boytoy how goes that walking here and there day did you get that police abstract are you still out and about i wake and miss you babe,0
u horrible gal u knew dat i was going out wif him yest n u still come n ask me,0
as a sim subscriber you are selected to receive a bonus get it delivered to your door txt the word ok to no to claim pmsg exp apr,1
i had askd u a question some hours before its answer,0
especially since i talk about boston all up in my personal statement lol i woulda changed that if i had realized it said nyc it says boston now,0
so hows scotland hope you are not over showing your jjc tendencies take care live the dream,0
wamma get laidwant real doggin locations sent direct to your mobile join the uks largest dogging network txt dogs to nownyt eca lp msg,1
nice line said by a broken heart plz dont cum more times infront of me other wise once again i ll trust u good t,0
come by our room at some point so we can iron out the plan for this weekend,0
fyi im gonna call you sporadically starting at like ltgt bc we are not not doin this shit,0
after my work ah den plus lor u workin oso rite den go orchard lor no other place to go liao,0
aathiwhere are you dear,0
me too mark is taking forever to pick up my prescription and the pain is coming back,0
so lets make it saturday or monday as per convenience,0
did u got that persons story,0
haha dont be angry with yourself take it as a practice for the real thing,0
what is the plural of the noun research,0
i walked an hour c u doesnt that show i care y wont u believe im serious,0
who u talking about,0
my sister in law hope you are having a great month just saying hey abiola,0
thanks for your ringtone order reference number x your mobile will be charged should your tone not arrive please call customer services,1
hi ibh customer loyalty offer the new nokia mobile from only at txtauctiontxt wordstart to no get yours nowt,1
yeah get the unlimited,0
k give me a sec breaking a ltgt at cstore,0
im good i have been thinking about you,0
yes princess i want to please you every night your wish is my command,0
almost there see u in a sec,0
had your contract mobile mnths latest motorola nokia etc all free double mins text on orange tariffs text yes for callback no to remove from records,1
pls i wont belive godnot only jesus,0
as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call,1
do you think i can move ltgt in a week,0
if you want to mapquest it or something look up usf dogwood drive,0
sweet we may or may not go to u to meet carlos so gauge pattys interest in that,0
too late i said i have the website i didnt i have or dont have the slippers,0
how are u i have missed u i havent been up much a bit bored with the holiday want go bak college sad isnt itxx,0
anything lor u decide,0
i am taking you for italian food how about a pretty dress with no panties,0
si si i think ill go make those oreo truffles,0
alright babe,0
dont worry is easy once have ingredients,0
just now saw your messageit k da,0
i will once i get home,0
mm i had my food da from out,0
living is very simple loving is also simple laughing is too simple winning is tooo simple but being simple is very difficult gud nte,0
wa u so efficient gee thanx,0
really gooddhanush rocks once again,0
hi dear call me its urgnt i dont know whats your problem you dont want to work or if you have any other problem at least tell me wating for your reply,0
no but you told me you were going before you got drunk,0
you only hate me you can call any but you didnt accept even a single call of mine or even you messaged,0
u ned to convince him tht its not possible witot hurting his feeling its the main,0
an amazing quote sometimes in life its difficult to decide whats wrong a lie that brings a smile or the truth that brings a tear,0
i like dis sweater fr mango but no more my size already so irritating,0
ron say fri leh n he said ding tai feng cant make reservations but he said wait lor,0
do u noe how send files between computers,0
you are sweet as well princess please tell me your likes and dislikes in bed,0
watching telugu moviewat abt u,0
haha awesome be there in a minute,0
most of the tiime when i dont let you hug me its so i dont break into tears,0
if i let you do this i want you in the house by am,0
then we wait u lor no need feel bad lar,0
the oz guy is being kinda flaky but one friend is interested in picking up ltgt worth tonight if possible,0
wonders in my world th you th ur style th ur smile th ur personality rd ur nature nd ur sms and st ur lovely friendship good morning dear,0
total disappointment when i texted you was the craziest shit got,0
ur awarded a city break and could win a summer shopping spree every wk txt store to skilgmetscswinawkageperwksub,1
well done blimey exercise yeah i kinda remember wot that is hmm,0
congrats mobile g videophones r yours call now videochat wid ur mates play java games dload polyh music noline rentl bx ip we pm,1
i love you you know can you feel it does it make your belly warm i wish it does my love i shall meet you in your dreams ahmad adoring kiss,0
as i entered my cabin my pa said happy bday boss i felt special she askd me lunch after lunch she invited me to her apartment we went there,0
ringtone club gr new polys direct to your mobile every week,1
messagesome text missing sendername missing number missing sentdate missing missing u a lot thats y everything is missing sent via fullonsmscom,0
yo im at my parents gettin cash good news we picked up a downstem,0
oi ami parchi na re kicchu kaaj korte iccha korche na phone ta tul na plz plz,0
u have a secret admirer reveal who thinks u r so special call to opt out reply reveal stop per msg recd cust care,1
minimum walk is miles a day,0
normally i use to drink more water daily,0
sure i am driving but will reach my destination soon,0
neva mind its ok,0
what u wearing,0
i thought we were doing a king of the hill thing there,0
what class of ltgt reunion,0
you are a winner you have been specially selected to receive cash or a award speak to a live operator to claim call ampm cost p,1
my new years eve was ok i went to a party with my boyfriend who is this si then hey,0
esplanade lor where else,0
i am taking half day leave bec i am not well,0
so your telling me i coulda been your real valentine and i wasnt u never pick me for nothing,0
dont give a flying monkeys wot they think and i certainly dont mind any friend of mine and all that,0
not planned yet going to join company on jan onlydon know what will happen after that,0
im going to try for months ha ha only joking,0
is ur paper in e morn or aft tmr,0
i didnt get the second half of that message,0
should i tell my friend not to come round til like ltgt ish,0
kkim also finewhen will you complete the course,0
haf u found him i feel so stupid da v cam was working,0
what todaysundaysunday is holidayso no work,0
yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we wont go there not doing too badly cheers you,0
i forgot ask all smth theres a card on da present lei how all want write smth or sign on it,0
pete can you please ring meive hardly gotany credit,0
haha they cant what at the most tmr forfeit haha so how,0
nothing smsing u n xy lor sorry lor da guys neva c u in person but they sort of know u lor so u wan meet them xy ask me bring u along our next meeting,0
i know she called me,0
hi im sue i am years old and work as a lapdancer i love sex text me live im i my bedroom now text sue to by textoperator g da ppmsg,1
missed your call cause i was yelling at scrappy miss u cant wait for u to come home im so lonely today,0
sports fans get the latest sports news str ur mobile wk free plus a free tone txt sport on to norm txtp,1
yeah you should i think you can use your gt atm now to register not sure but if theres anyway i can help let me know but when you do be sure you are ready,0
hello hello hi lou sorry it took so long reply i left mobile at friends in lancaster just got it bak neway im sorry i couldnt make ur bday hun,0
yes but i dont care i need you bad princess,0
it should take about ltgt min,0
hi i wont b ard christmas but do enjoy n merry xmas,0
its too latebut its kwish you the same,0
hi the sexychat girls are waiting for you to text them text now for a great night chatting send stop to stop this service,1
pls go ahead with watts i just wanted to be sure do have a great weekend abiola,0
o guess they both got screwd,0
edison has rightly said a fool can ask more questions than a wise man can answer now you know why all of us are speechless during viva gm,0
i jus hope its true that missin me cos im really missin him you havent done anything to feel guilty about yet,0
ohas usual vijay film or its different,0
she is our sister she belongs our family she is d hope of tomorrow pray herwho was fated d shoranur train incident lets hold our hands together amp fuelled by love amp concern prior her grief amp pain pls join in dis chain amp pass it stop violence against women,0
i know you are can you pls open the back,0
nt only for driving even for many reasons she is called bbdthts it chikku then hw abt dvg coldheard tht vinobanagar violence hw is the conditionand hw ru any problem,0
sat right okay thanks,0
ha you dont know either i did a a clever but simple thing with pears the other day perfect for christmas,0
urgent your mobile number won a bonus caller prize on this is the nd attempt to reach you call asap box nqp ppm,1
they didt play one day last year know even though they have very good team like india,0
reminder from o to get pounds free call credit and details of great offers pls reply this text with your valid name house no and postcode,1
ive reached sch already,0
well i wasnt available as i washob nobbing with last night so they had to ask nickey platt instead of me,0
im fine hope you are good do take care,0
good morning at the repair shopthe only reason im up at this hour,0
not for possession especially not first offense,0
thats very rude you on campus,0
k and youre sure i dont have to have consent forms to do it v,0
would you like to see my xxx pics they are so hot they were nearly banned in the uk,1
have a good trip watch out for remember when you get back we must decide about easter,0
oh ok no prob,0
hello sort of out in town already that so dont rush home i am eating nachos will let you know eta,0
near kalainar tv officethenampet,0
our dating service has been asked contact u by someone shy call now all will be revealed pobox m uz p,1
kate jackson rec center before ish right,0
so i could kiss and feel you next to me,0
dear good morning now only i am up,0
amazing if you rearrange these letters it gives the same meaning dormitory dirty room astronomer moon starer the eyes they see election results lies lets recount motherinlaw woman hitler eleven plus two twelve plus one its amazing,0
oh thanks a loti already bought eggs,0
cheers for callin babesozi culdnt talkbut i wannatell u details later wenwecan chat properly x,0
im done,0
yavnt tried yet and never played original either,0
i was at bugis juz now wat but now im walking home oredi so late then reply i oso saw a top dat i like but din buy where r now,0
where at were hungry too,0
just do what ever is easier for you,0
im an actor when i work i work in the evening and sleep late since im unemployed at the moment i always sleep late when youre unemployed every day is saturday,0
sitting ard nothing to do lor u leh busy w work,0
are you plans with your family set in stone,0
aight yo dats straight dogg,0
yesterday its with me only now am going home,0
ok set let u noe e details later,0
where in abj are you serving are you staying with dad or alone,0
heygreat dealfarm tour am to pm pax deposit by may,0
wat happened to the cruise thing,0
can you please send me my auntys number,0
nothing splwat abt u and whr ru,0
yeah go on then bored and depressed sittin waitin for phone to ring hope the wind drops though scary,0
the beauty of life is in next second which hides thousands of secrets i wish every second will be wonderful in ur life gud n,0
nope juz off from work,0
erm woodland avenue somewhere do you get the parish magazine his telephone number will be in there,0
ok i msg u b i leave my house,0
look at the fuckin time what the fuck you think is up,0
aight im chillin in a friends room so text me when youre on the way,0
heart is empty without love mind is empty without wisdom eyes r empty without dreams amp life is empty without frnds so alwys be in touch good night amp sweet dreams,0
aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,0
winner as a valued network customer you have been selected to receivea prize reward to claim call claim code kl valid hours only,1
only saturday and sunday holiday so its very difficult,0
sorry dai was thought of calling you lot of timeslil busyi will call you at noon,0
i am late i will be there at,0
the guy kadeem hasnt been selling since the break i know one other guy but hes paranoid as fuck and doesnt like selling without me there and i cant be up there til late tonight,0
imagine life without me see how fast u are searching medont worry lm always there to disturb u goodnoon,0
height of oh shit situation a guy throws a luv letter on a gal but falls on her brothers head whos a gay,0
just got outta class gonna go gym,0
loosu go to hospital de dont let it careless,0
so that means you still think of teju,0
yo dude guess who just got arrested the other day,0
k dahow many page you want,0
thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,0
purity of friendship between two is not about smiling after reading the forwarded messageits about smiling just by seeing the name gud evng musthu,0
that was random saw my old roomate on campus he graduated,0
you best watch what you say cause i get drunk as a motherfucker,0
u studying in sch or going home anyway ill b going sch later,0
ha ha ha good joke girls are situation seekers,0
you see the requirements please,0
i will cal you sir in meeting,0
i think your mentor is but not percent sure,0
you tell what happen dont behave like this to me ok no need to say,0
they released another italian one today and it has a cosign option,0
babe i lost you,0
mm that time you dont like fun,0
like i made him throw up when we were smoking in our friends car one time it was awesome,0
tomarrow i want to got to court at ltdecimalgt so you come to bus stand at,0
im on my way home went to change batt my watch then go shop a bit lor,0
aiyo a bit pai seh noe scared he dun rem who i am then die hee but he become better lookin oredi leh,0
juz go google n search qet,0
you have registered sinco as payee log in at icicibankcom and enter urn ltgt to confirm beware of frauds do not share or disclose urn to anyone,0
ok not sure what time tho as not sure if can get to library before class will try see you at some point have good eve,0
nimbomsons yep phone knows that one obviously cos thats a real word,0
am in film ill call you later,0
can call me at to make sure dat ive woken up,0
tacos rajas burrito right,0
i want to send something that can sell fast ltgt k is not easy money,0
how i noe did specify da domain as nusstu still in sch,0
hey babe sorry i didnt get sooner gary can come and fix it cause he thinks he knows what it is but he doesnt go as far a ptbo and he says it will cost ltgt bucks i dont know if it might be cheaper to find someone there we dont have any second hand machines at all right now let me know what you want to do babe,0
mila age blonde new in uk i look sex with uk guys if u like fun with me text mtalk to pptxt st free increments help,1
sleeping nt feeling well,0
kit strip you have been billed p netcollex ltd po box ig oja,1
prof you have passed in all the papers in this sem congrats student enna kalaachutaarama prof gud mrng,0
i absolutely love south park i only recently started watching the office,0
what u mean u almost done done wif sleeping but i tot u going to take a nap yup i send her liao so im picking her up at ard smth lor,0
yeah theres barely enough room for the two of us x has too many fucking shoes sorry man see you later,0
please leave this topicsorry for telling that,0
all will come alivebetter correct any good looking figure there itself,0
baaaaaaaabe wake up i miss you i crave you i need you,0
lol your always so convincing,0
i just cooked a rather nice salmon a la you,0
serious what like proper tongued her,0
cud u tell ppl im gona b a bit l cos buses hav gon past cos they were full im still waitin pete x,0
cool i am ltgt inches long hope you like them big,0
hot live fantasies call now just p per min ntt ltd po box croydon cr wb is a national rate call,1
ki didt see youkwhere are you now,0
urgent your mobile no was awarded bonus caller prize on this is our final try to contact u call from landline boxwrc ppm,1
my house here e sky quite dark liao if raining then got excuse not run already rite hee,0
customer service announcement we recently tried to make a delivery to you but were unable to do so please call to reschedule ref,1
i want to show you the world princess how about europe,0
when you get free call me,0
oh rite well im with my best mate pete who i went out with a week now were geva again its been longer than a week,0
have you finished work yet,0
booked ticket for pongal,0
private your account statement for xxxxxx shows unredeemed s i m points call identifier code expires,1
pls speak with me i wont ask anything other then you friendship,0
free top ringtone sub to weekly ringtoneget st week freesend subpoly to per weekstop sms,1
just dropped em off omw back now,0
how long does it take to get it,0
kkgoodstudy well,0
this is the nd time we have tried to contact u u have won the prize claim is easy just call now only p per minute btnationalrate,1
comin to fetch us oredi,0
appledayno doctor tulsi leafdayno cancer lemondayno fat cup milkdayno bone problms litres watrdayno diseases snd ths whom u care,0
shall i ask one thing if you dont mistake me,0
wrong phone this phone i answer this one but assume the other is people i dont well,0
k sure am in my relatives home sms me de pls,0
sweet heart how are you,0
i will spoil you in bed as well,0
you should know now so hows anthony are you bringing money ive school fees to pay and rent and stuff like that thats why i need your help a friend in need,0
hey sexy buns what of that day no word from you this morning on ym i think of you,0
and several to you sir,0
well theres not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going,0
p alfie moons children in need song on ur mob tell ur ms txt tone charity to for nokias or poly charity for polys zed profit charity,1
hello we need some posh birds and chaps to user trial prods for champneys can i put you down i need your address and dob asap ta r,1
urgent please call from a landline cash or a holiday await collection t cs sae po box mxy,1
ok lor but buy wat,0
ki deleted my contact that why,0
misplaced your number and was sending texts to your old number wondering why ive not heard from you this year all the best in your mcat got this number from my atlanta friends,0
tell her i said eat shit,0
you sure your neighbors didnt pick it up,0
ur hmv quiz cashbalance is currently to maximize ur cashin now send hmv to only pmsg,1
u have won a nokia plus a free digital camera this is what u get when u win our free auction to take part send nokia to now poboxtcrw,1
can you do online transaction,0
im done oredi,0
he also knows about lunch menu only da i know,0
yeah just open chat and click friend lists then make the list easy as pie,0
send me your id and password,0
i dont have anybodys number i still havent thought up a tactful way to ask alex,0
but pls dont play in others life,0
hot live fantasies call now just p per min ntt ltd po box croydon cr wb is a national rate call,1
a link to your picture has been sent you can also use,1
think i might have to give it a miss am teaching til twelve then have lecture at two damn this working thing,0
oooh i got plenty of those,0
id say thats a good sign but well you know my track record at reading women,0
thanks for your ringtone order ref number r your mobile will be charged should your tone not arrive please call customer services on,1
i will vote for wherever my heart guides me,0
rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,1
so what about you what do you remember,0
shall call now dear having food,0
final chance claim ur worth of discount vouchers today text yes to now savamob member offers mobile t cs savamob pobox muz subs,1
free msgwe billed your mobile number by mistake from shortcode please call to have charges refundedthis call will be free from a bt landline,1
sorry about that this is my mates phone and i didnt write it love kate,0
senthil group company apnt pm,0
wishing you and your family merry x mas and happy new year in advance,0
i take it the post has come then you must have s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him,0
do you want a new nokia i colour phone deliveredtomorrow with free minutes to any mobile free texts free camcorder reply or call,1
im reaching in another stops,0
i went to ur hon lab but no one is there,0
kkhow much does it cost,0
lol or i could just starve and lose a pound by the end of the day,0
log off wat its sdrybi,0
i am on the way to ur home,0
he remains a bro amongst bros,0
yar lor how u noe u used dat route too,0
give one miss from that number please,0
not much just some textin how bout you,0
yup,0
annoying isnt it,0
hello from orange for months free access to games news and sport plus free texts and photo messages reply yes terms apply,1
let me know how it changes in the next hrs it can even be appendix but you are out of that age range however its not impossible so just chill and let me know in hrs,0
leave it de start prepare for next,0
and that is the problem you walk around in julianaland oblivious to what is going on around you i say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do its not that you dont know why im upsetits that you dont listen when i tell you what is going to upset me then you want to be surprised when im mad,0
oh haha den we shld had went today too gee nvm la kaiez i dun mind goin jazz oso scared hiphop open cant catch up,0
u wake up already thanx e tau sar piah its quite nice,0
im in a movie call me wat,0
now project pa after that only i can come,0
single line with a big meaning miss anything ur best life but,0
those cocksuckers if it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,0
if anyone calls for a treadmill say youll buy it make sure its working i found an ad on craigslist selling for ltgt,0
yo yo yo byatch whassup,0
haha okay today weekend leh,0
its normally hot mail com you see,0
sorry i cant take your call right now it so happens that there r waxsto do wat you want she can come and ill get her medical insurance and shell be able to deliver and have basic care im currently shopping for the right medical insurance for her so just give me til friday morning thats when ill see the major person that can guide me to the right insurance,0
days to euro kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to,1
k can i pick up another th when youre done,0
ok,0
good night my dear sleepwellamptake care,0
urgent ur awarded a complimentary trip to eurodisinc trav acoentry or to claim txt dis to morefrmmob shracomorsglsuplt ls aj,1
i dont know ask to my brother nothing problem some thing that just i told,0
jus chillaxin what up,0
mum ask to buy food home,0
free top polyphonic tones call national rate get a toppoly tune sent every week just text subpoly to per pole unsub,1
ok,0
forgot to tell smth can like number the sections so that its clearer,0
congratulations ur awarded either a yrs supply of cds from virgin records or a mystery gift guaranteed call tscs pm approx mins,1
busy here trying to finish for new year i am looking forward to finally meeting you,0
for ur chance to win a cash every wk txt action to tscs custcare xpwk,1
should i have picked up a receipt or something earlier,0
uve bin awarded to play instant cash call to claim every th player wins min optout,1
yes im small kid and boost is the secret of my energy,0
please call our customer service representative on between ampm as you have won a guaranteed cash or prize,1
geeee i miss you already you know your all i can think about fuck i cant wait till next year when we will be together loving kiss,0
ok every night take a warm bath drink a cup of milk and youll see a work of magic you still need to loose weight just so that you know,0
dont you have message offer,0
what should i eat fo lunch senor,0
thank you i like you as well,0
hey you around ive got enough for a half the ten i owe you,0
okay same with me well thanks for the clarification,0
even if he my friend he is a priest call him now,0
yeah jays sort of a fucking retard,0
the sign of maturity is not when we start saying big things but actually it is when we start understanding small things have a nice evening bslvyl,0
ok lor,0
mmm fuck merry christmas to me,0
just woke up yeesh its late but i didnt fall asleep til ltgt am,0
on the way to office da,0
love you aathilove u lot,0
my friend shes studying at warwick weve planned to go shopping and to concert tmw but it may be canceled havnt seen for ages yeah we should get together sometime,0
yes princess i want to catch you with my big strong hands,0
no youll just get a headache trying to figure it out u can trust me to do the math i promise o,0
nope i waiting in sch daddy,0
okie thanx,0
does not operate after ltgt or what,0
hows it feel mr your not my real valentine just my yo valentine even tho u hardly play,0
i want to lick your pussy now,0
ya but it cant display internal subs so i gotta extract them,0
good morning plz call me sir,0
what type of stuff do you sing,0
but i juz remembered i gotta bathe my dog today,0
i cant talk to you nowi will call when i candont keep calling,0
ki will give my kvb acc details,0
hey i will be late ah meet you at,0
i couldnt say no as he is a dying man and i feel sad for him so i will go and i just wanted you to know i would probably be gone late into your night,0
yup thk of u oso boring wat,0
hmm ok ill stay for like an hour cos my eye is really sore,0
i will lick up every drop are you ready to use your mouth as well,0
thats y i said its bad dat all e gals know u wat u doing now,0
shes good how are you where r u working now,0
thank you winner notified by sms good luck no future marketing reply stop to customer services,1
congratulations in this weeks competition draw u have won the prize to claim just call b tcsstop sms over only ppm,1
hi missed your call and my mumhas beendropping red wine all over theplace what is your adress,0
had your mobile mths update to latest orange cameravideo phones for free save s with free textsweekend calls text yes for a callback orno to opt out,1
dont know you bring some food,0
hey chief can you give me a bell when you get this need to talk to you about this royal visit on the st june,0
jay wants to work out first hows sound,0
was the farm open,0
hmmmkbut i want to change the field quickly dai wanna get system administrator or network administrator,0
i place all ur points on e cultures module already,0
correct so how was work today,0
happy birthday may all ur dreams come true,0
was the actual exam harder than nbme,0
nt yet chikkusimple habbahw abt u,0
new textbuddy chat horny guys in ur area just p free receive search postcode or at gaytextbuddycom txt one name to,1
nan sonathaya soladha why boss,0
he says hi and to get your ass back to south tampa preferably at a kegger,0
wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,0
are you in town this is v important,0
sorry ill call later,0
for ur chance to win cash every wk txt play to tscs custcare xpwk,1
are you going to write ccna exam this week,0
no on the way home so if not for the long dry spell the season would have been over,0
you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr weekend,0
ok how many should i buy,0
its only ard rest all ard at leastwhich is price bedrm,0
i sent my scores to sophas and i had to do secondary application for a few schools i think if you are thinking of applying do a research on cost also contact joke ogunrinde her school is one me the less expensive ones,0
nottel software name,0
dont pick up d call when something important is there to tell hrishi,0
i come n pick up come out immediately aft ur lesson,0
oh oh wasted den muz chiong on sat n sun liao,0
am also doing in cbe only but have to pay,0
i dont want to hear anything,0
my phone,0
also north carolina and texas atm you would just go to the gre site and pay for the test results to be sent,0
k k sms chat with me,0
wiskey brandy rum gin beer vodka scotch shampain wine kudiyarasu dhina vaazhthukkal,0
lol i would but my mom would have a fit and tell the whole family how crazy and terrible i am,0
two teams waiting for some players,0
yesmum lookin strong,0
sindu got job in birla soft,0
k want us to come by now,0
congratulations ur awarded of cd vouchers or gift guaranteed free entry wkly draw txt music to,1
asked mobile if chatlines inclu in free mins india cust servs sed yes ler got mega bill dont giv a shit bailiff due in days i o want,1
night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay gud mrng,0
tell them no need to investigate about me anywhere,0
no home work to do meh,0
wish u many many returns of the day happy birthday vikky,0
kkcongratulation,0
im not coming home dinner,0
naughty little thought its better to flirt flirt n flirt rather than loving someone n gettin hurt hurt n hurt gud nyt,0
sorry sent blank msg again yup but trying do some serious studying now,0
nooooooo im gonna be bored to death all day cable and internet outage,0
nope but ill b going sch on fri quite early lor cos mys sis got paper in da morn,0
just seeing your missed call my dear brother do have a gr day,0
was actually sleeping and still might when u call back so a text is gr you rock sis will send u a text wen i wake,0
can you call me plz your number shows out of coveragd area i have urgnt call in vasai amp have to reach before o clock so call me plz,0
oh k i will come tomorrow,0
want the latest video handset anytime any network mins half price line rental reply or call for delivery tomorrow,1
i am in bus on the way to calicut,0
i will be gentle baby soon you will be taking all ltgt inches deep inside your tight pussy,0
sorry i cant text amp drive coherently see you in twenty,0
would me smoking you out help us work through this difficult time,0
hey company elama po mudyadhu,0
okie,0
i love to give massages i use lots of baby oil what is your fave position,0
wait ltgt min,0
now get step outta the way congrats again,0
see i thought it all through,0
wat doing now,0
r u here yet im wearing blue shirt n black pants,0
i asked sen to come chennai and search for job,0
if i start sending blackberry torch to nigeria will you find buyer for melike a month and tell dad not to buy bb from anyone oh,0
did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,0
ok lor reaching then message me,0
freemsg todays the day if you are ready im horny live in your town i love sex fun games netcollex ltd p per msg reply stop to end,1
congrats mobile g videophones r yours call now videochat wid your mates play java games dload polyph music noline rentl,1
you made my day do have a great day too,0
haha i think i did too,0
either way works for me i am ltgt years old hope that doesnt bother you,0
i calls you later afternoon onwords mtnl service get problem in south mumbai i can hear you but you cannt listen me,0
takin a shower now but yeah ill leave when im done,0
hi wlcome back did wonder if you got eaten by a lion or something nothing much,0
still attending da talks,0
mila age blonde new in uk i look sex with uk guys if u like fun with me text mtalk to pptxt st free increments help,1
sending you greetings of joy and happiness do have a gr evening,0
